time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,0,4114,,,,,,,,,,,,,
1024,2,0,1901,-0.025141192600131035,0.01611352,16,0.2,-0.024405905336607248,-43.97025263309479,0.0004092704424510632,0.220458984375,0.9990484118461609,0.23057954222531407,-1.487407922744751,,
1536,3,0,1620,-0.03042864426970482,0.013766489,32,0.2,-0.0249457128229551,-43.95697867870331,0.0004092704424510632,0.19921875,0.9991520643234253,0.004796667919436004,0.042488038539886475,-2.130162,1258.0
2048,4,1,1519,-0.04111815616488457,0.0145209525,48,0.2,-0.03165683202678338,-43.932241797447205,0.0004092704424510632,0.2503662109375,0.997113823890686,0.0013527421942853834,-0.04708683490753174,-2.130162,1258.0
2560,5,1,1461,-0.028403066098690033,0.013492537,64,0.2,-0.02194283524295315,-43.86583650112152,0.0004092704424510632,0.2025146484375,0.9953257441520691,0.00222113577183336,0.0037552714347839355,-2.2233785,1258.0
3072,6,2,1427,-0.03877232223749161,0.021947574,80,0.2,-0.029846594465197995,-43.8294780254364,0.0004092704424510632,0.314697265625,0.994879961013794,0.0027387927402742207,-0.019224166870117188,-2.2233785,1258.0
3584,7,2,1406,-0.03872044384479523,0.01868578,96,0.2,-0.028609226108528674,-43.84052073955536,0.0004092704424510632,0.2974853515625,0.9961962699890137,0.002840969547833083,0.00617140531539917,-2.2233785,1258.0
4096,8,2,1386,-0.04248005524277687,0.019877773,112,0.2,-0.029037740037892945,-43.87661623954773,0.0004092704424510632,0.3251953125,0.996788740158081,0.00440910377074033,0.013331234455108643,-2.2326409999999997,1258.0
4608,9,3,1373,-0.034623634070158005,0.024788545,128,0.2,-0.032711800071410835,-43.889710664749146,0.0004092704424510632,0.3214111328125,0.9975278377532959,0.005978790213703178,0.016800880432128906,-2.2326409999999997,1258.0
5120,10,3,1363,-0.024352824315428734,0.021085031,144,0.2,-0.029790679283905774,-43.89738976955414,0.0004092704424510632,0.308349609375,0.9969261884689331,0.004253100967616774,0.07119345664978027,-2.2514607499999997,1258.0
