time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,0,2893,,,,,,,,,,,,,
1024,2,0,1747,-0.033003635704517365,0.013118748,16,0.2,-0.02570941680460237,-44.006062388420105,0.0004092704424510632,0.1968994140625,1.0014828443527222,0.17750676627656503,-1.8811225891113281,,
1536,3,0,1554,-0.038591429591178894,0.020419784,32,0.2,-0.03117237036349252,-44.04549562931061,0.0004092704424510632,0.27783203125,1.0019649267196655,0.0047728242934681475,-0.020510077476501465,-2.361026,1258.0
2048,4,1,1469,-0.029827848076820374,0.0135830855,48,0.2,-0.021946081236819737,-44.065176010131836,0.0004092704424510632,0.214111328125,1.003602385520935,0.007649197446880862,0.00029778480529785156,-2.361026,1258.0
2560,5,1,1423,-0.04245128855109215,0.017121729,64,0.2,-0.026455374492798,-44.11562776565552,0.0004092704424510632,0.2515869140625,1.0049018859863281,0.0022387702720152447,-0.006734013557434082,-2.3864475,1258.0
3072,6,2,1397,-0.04730793088674545,0.017235573,80,0.2,-0.030964282515924424,-44.13181912899017,0.0004092704424510632,0.2930908203125,1.0045101642608643,0.005055680783698335,0.005297720432281494,-2.3864475,1258.0
3584,7,2,1379,-0.03399936109781265,0.022909839,96,0.2,-0.028235259698703885,-44.125226616859436,0.0004092704424510632,0.2982177734375,1.0050283670425415,0.002630002873047488,-0.005922198295593262,-2.3864475,1258.0
4096,8,3,1363,-0.03362206742167473,0.015385538,112,0.2,-0.023261047623236664,-44.12630796432495,0.0004092704424510632,0.253662109375,1.0042338371276855,0.005791638366645202,0.0012693405151367188,-2.3629016666666667,1258.0
4608,9,3,1350,-0.041061434894800186,0.017733607,128,0.2,-0.028635182621655986,-44.08931076526642,0.0004092704424510632,0.2552490234375,1.0027518272399902,0.0016471472827106481,-0.003765702247619629,-2.3629016666666667,1258.0
5120,10,3,1341,-0.03812677785754204,0.03847211,144,0.2,-0.037846644525416195,-44.06140410900116,0.0004092704424510632,0.36962890625,1.0029898881912231,0.005830412483192049,0.0015301108360290527,-2.373868,1258.0
5632,11,4,1331,-0.03177274391055107,0.017225761,160,0.2,-0.023218522605020553,-44.06617248058319,0.0004092704424510632,0.2666015625,1.002364158630371,0.002440125659632031,-0.0034815073013305664,-2.373868,1258.0
6144,12,4,1324,-0.02568608894944191,0.016283194,176,0.2,-0.02573169712923118,-44.043325304985046,0.0004092704424510632,0.24365234375,1.0022605657577515,0.002476144250977086,-0.003750324249267578,-2.373868,1258.0
6656,13,5,1318,-0.027264393866062164,0.013775083,192,0.2,-0.027314649079926312,-44.03738069534302,0.0004092704424510632,0.26025390625,1.0014503002166748,0.004221049828629475,0.004431009292602539,-2.3610724,1258.0
7168,14,5,1311,-0.029875535517930984,0.024637468,208,0.2,-0.030358400632394478,-44.025123596191406,0.0004092704424510632,0.3111572265625,1.0021494626998901,0.008894263170077465,-0.0017572641372680664,-2.3610724,1258.0
7680,15,5,1309,-0.028458628803491592,0.017455406,224,0.2,-0.023140459990827367,-44.05141723155975,0.0004092704424510632,0.26318359375,1.0026657581329346,0.005936066954745911,0.004250705242156982,-2.3372314999999997,1258.0
8192,16,6,1305,-0.030918661504983902,0.025867734,240,0.2,-0.024701451911823824,-44.06484293937683,0.0004092704424510632,0.285888671875,1.0033143758773804,0.014022353279870003,-0.0011931657791137695,-2.3372314999999997,1258.0
8704,17,6,1302,-0.03919018432497978,0.01778337,256,0.2,-0.029179286808357574,-44.10699284076691,0.0004092704424510632,0.2711181640625,1.0059300661087036,0.0024677724904904608,-0.001147627830505371,-2.3372314999999997,1258.0
