time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,0,4182,,,,,,,,,,,,,
1024,2,0,1926,-0.04020191729068756,0.01776129,16,0.2,-0.029524855708586983,-43.9507360458374,0.0004092704424510632,0.2523193359375,0.9976252317428589,0.09774533706877264,-0.7508647441864014,,
1536,3,0,1634,-0.03562244027853012,0.016607957,32,0.2,-0.030007024121005088,-43.87365710735321,0.0004092704424510632,0.2327880859375,0.9950280785560608,0.006351226184051484,-0.02171182632446289,-2.222569,1258.0
2048,4,1,1516,-0.002341095358133316,0.021430966,48,0.2,-0.02983969438355416,-43.79156577587128,0.0004092704424510632,0.3209228515625,0.9927457571029663,0.06258448143489659,-0.004064798355102539,-2.222569,1258.0
2560,5,1,1450,-0.01913415640592575,0.017123975,64,0.2,-0.021115603420184925,-43.7662672996521,0.0004092704424510632,0.259765625,0.9937236905097961,0.0019163015731464839,0.004308938980102539,-2.1755955,1258.0
3072,6,2,1410,-0.008334498852491379,0.01788941,80,0.2,-0.024117644410580397,-43.80297911167145,0.0004092704424510632,0.272705078125,0.994423508644104,0.06341547251213342,0.004280030727386475,-2.1755955,1258.0
3584,7,2,1382,-0.028956471011042595,0.021366622,96,0.2,-0.03477411816129461,-43.81208038330078,0.0004092704424510632,0.3292236328125,0.9945687055587769,0.002298773943039123,0.02712857723236084,-2.1755955,1258.0
4096,8,3,1363,-0.040613528341054916,0.017644692,112,0.2,-0.02817374575533904,-43.812593936920166,0.0004092704424510632,0.266845703125,0.9945957064628601,0.007546060820459388,-0.0166170597076416,-2.297167,1258.0
4608,9,3,1349,-0.003441751003265381,0.015412981,128,0.2,-0.025153514376142994,-43.79220795631409,0.0004092704424510632,0.26513671875,0.9931721091270447,0.0746879163198173,0.0057593584060668945,-2.297167,1258.0
5120,10,3,1337,-0.019328216090798378,0.015232378,144,0.2,-0.016987928494927473,-43.753671169281006,0.0004092704424510632,0.1982421875,0.9929169416427612,0.0041817926612566225,0.29510241746902466,-2.2875449999999997,1258.0
5632,11,4,1328,-0.006100956350564957,0.019483011,160,0.2,-0.027525523299118504,-43.737533926963806,0.0004092704424510632,0.2611083984375,0.9916866421699524,0.0684940533246845,0.04355424642562866,-2.2875449999999997,1258.0
6144,12,4,1322,-0.029073741286993027,0.02104057,176,0.2,-0.02985679983976297,-43.72142279148102,0.0004092704424510632,0.2744140625,0.9925979375839233,0.002849951066309586,-1.109311580657959,-2.2875449999999997,1258.0
6656,13,5,1315,-0.052415162324905396,0.015704433,192,0.2,-0.028018163138767704,-43.752309918403625,0.0004092704424510632,0.251220703125,0.9929831624031067,0.00465737834747415,0.08123606443405151,-2.2892303999999997,1258.0
7168,14,5,1310,-0.022956009954214096,0.021917766,208,0.2,-0.0278281232167501,-43.73536944389343,0.0004092704424510632,0.2811279296875,0.9918427467346191,0.062163757043890655,0.11209279298782349,-2.2892303999999997,1258.0
7680,15,5,1306,-0.02616599202156067,0.017368121,224,0.2,-0.024737280633416958,-43.70721244812012,0.0004092704424510632,0.2679443359375,0.9915099740028381,0.010325354058295488,-0.820827841758728,-2.318913,1258.0
8192,16,6,1297,-0.0018212683498859406,0.020637553,240,0.2,-0.026944648881908506,-43.71847999095917,0.0004092704424510632,0.277099609375,0.9924480319023132,0.07533003704156727,0.207777738571167,-2.318913,1258.0
8704,17,6,1294,-0.03998766839504242,0.0175437,256,0.2,-0.028157746230135672,-43.74007570743561,0.0004092704424510632,0.2413330078125,0.9927188158035278,0.0073899780109059066,-3.0851078033447266,-2.318913,1258.0
9216,18,7,1292,-0.022787559777498245,0.020290365,272,0.2,-0.02758145675761625,-43.74756181240082,0.0004092704424510632,0.2896728515625,0.992918074131012,0.0050180929829366505,0.08916211128234863,-2.285313714285714,1258.0
9728,19,7,1289,-0.011385779827833176,0.01936194,288,0.2,-0.02316962491022423,-43.73680531978607,0.0004092704424510632,0.261962890625,0.9922999739646912,0.0716040862025693,0.1567244529724121,-2.285313714285714,1258.0
10240,20,7,1287,-0.03581749647855759,0.019325154,304,0.2,-0.028595384108484723,-43.72712957859039,0.0004092704424510632,0.261962890625,0.9925461411476135,0.005426666597486474,-3.9269089698791504,-2.29296,1258.0
