time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,0,3820,,,,,,,,,,,,,
1024,2,0,1786,-0.03241269290447235,0.013032436,16,0.2,-0.02376562778954394,-44.006136775016785,0.0004092704424510632,0.1834716796875,1.0010162591934204,0.14058100847250898,-0.8352280855178833,,
1536,3,1,1528,-0.03234856575727463,0.014310166,32,0.2,-0.024555168056394905,-44.019824624061584,0.0004092704424510632,0.218994140625,1.001125693321228,0.004761441923619714,0.009165823459625244,-2.337557,1258.0
2048,4,1,1428,-0.02962554432451725,0.01774385,48,0.2,-0.025330613716505468,-44.018601417541504,0.0004092704424510632,0.2462158203125,1.0010945796966553,0.0012775052709912416,0.0001290440559387207,-2.337557,1258.0
2560,5,1,1373,-0.04186107963323593,0.016953105,64,0.2,-0.02407344577659387,-44.01155376434326,0.0004092704424510632,0.2508544921875,1.0005550384521484,0.0022176539459906053,-0.004955410957336426,-2.2688015,1258.0
3072,6,2,1338,-0.027438169345259666,0.016609766,80,0.2,-0.026513674412854016,-43.989893317222595,0.0004092704424510632,0.2379150390625,0.99980628490448,0.003877339717291761,0.002139866352081299,-2.2688015,1258.0
3584,7,2,1316,-0.03045804798603058,0.020958291,96,0.2,-0.02668870790512301,-43.990583539009094,0.0004092704424510632,0.30322265625,1.0011096000671387,0.0024089927865134086,-0.00030803680419921875,-2.2688015,1258.0
4096,8,3,1300,-0.033564239740371704,0.014527986,112,0.2,-0.022011487824784126,-44.03109610080719,0.0004092704424510632,0.2125244140625,1.0021884441375732,0.00703392454306595,0.007753133773803711,-2.2985773333333333,1258.0
4608,9,3,1289,-0.03014734759926796,0.01753884,128,0.2,-0.023800414113793522,-44.06022834777832,0.0004092704424510632,0.239501953125,1.0024479627609253,0.0091846834984608,0.006470739841461182,-2.2985773333333333,1258.0
5120,10,4,1278,-0.045494552701711655,0.023951892,144,0.2,-0.02976482930534985,-44.043954849243164,0.0004092704424510632,0.2528076171875,1.0019950866699219,0.004556748710456304,0.030341029167175293,-2.2540157499999998,1258.0
5632,11,4,1270,-0.02181340754032135,0.020757437,160,0.2,-0.025813337168074213,-44.02556645870209,0.0004092704424510632,0.28857421875,1.0009770393371582,0.013274904718855396,0.004066765308380127,-2.2540157499999998,1258.0
6144,12,4,1263,-0.030033694580197334,0.017317822,176,0.2,-0.029148143046768382,-44.003920912742615,0.0004092704424510632,0.2620849609375,1.0011937618255615,0.002472628875693772,0.04975169897079468,-2.2540157499999998,1258.0
6656,13,5,1256,-0.022166620939970016,0.025866257,192,0.2,-0.026249195172567852,-43.995917320251465,0.0004092704424510632,0.2537841796875,0.9998481273651123,0.006252676481381059,0.012196779251098633,-2.2955948,1258.0
7168,14,5,1251,-0.017207589000463486,0.027699096,208,0.2,-0.02676403379882686,-43.96136820316315,0.0004092704424510632,0.2757568359375,0.9993214011192322,0.02085137923131697,0.011959612369537354,-2.2955948,1258.0
7680,15,6,1246,-0.04149840027093887,0.018703979,224,0.2,-0.02587772858532844,-43.943564653396606,0.0004092704424510632,0.254638671875,0.9985740184783936,0.0053450997365871444,0.39030957221984863,-2.2809638333333333,1258.0
8192,16,6,1243,-0.03148016333580017,0.021313624,240,0.2,-0.027233692380832508,-43.90669906139374,0.0004092704424510632,0.28662109375,0.9971626996994019,0.02482457220321521,0.10502296686172485,-2.2809638333333333,1258.0
8704,17,7,1239,-0.029921531677246094,0.015763823,256,0.2,-0.02954198606312275,-43.88613188266754,0.0004092704424510632,0.2735595703125,0.9974313974380493,0.0017965685310628032,-0.34101641178131104,-2.2809638333333333,1258.0
9216,18,7,1236,-0.033167410641908646,0.013911508,272,0.2,-0.022180405096150935,-43.89543640613556,0.0004092704424510632,0.2193603515625,0.9976282715797424,0.006628241593716666,0.06519758701324463,-2.286263857142857,1258.0
9728,19,7,1231,-0.016010211780667305,0.016258407,288,0.2,-0.025129823479801416,-43.9024533033371,0.0004092704424510632,0.2178955078125,0.9981037378311157,0.025539677968481556,0.09866654872894287,-2.286263857142857,1258.0
10240,20,8,1229,-0.03590394929051399,0.015728641,304,0.2,-0.02187094619148411,-43.89156496524811,0.0004092704424510632,0.1942138671875,0.996640145778656,0.004980163132131565,-0.6816403865814209,-2.2893046249999998,1258.0
