time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/value_loss,train/n_updates,train/std,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
0,4229,1,512,,,,,,,,,,,,,
0,2548,2,1024,0.19533295244036708,16,1.0021792650222778,0.2,0.2530517578125,-0.03399361117044464,-0.3740745782852173,-44.01463532447815,-0.04273684322834015,0.016584855,0.0004092704424510632,,
0,2253,3,1536,0.0034507920790929347,32,1.0018377304077148,0.2,0.263427734375,-0.03399515259661712,-0.056992530822753906,-44.05631124973297,-0.04091266170144081,0.023392212,0.0004092704424510632,1257.0,-2.474854
0,2134,4,2048,0.007253913921886124,48,1.001753807067871,0.2,0.2266845703125,-0.02376225037733093,-0.006643891334533691,-44.036484241485596,-0.02788495644927025,0.015476991,0.0004092704424510632,1257.0,-2.474854
1,2058,5,2560,0.0030530781150446273,64,1.0010439157485962,0.2,0.2662353515625,-0.025281241978518665,0.015104532241821289,-44.03030169010162,-0.030491646379232407,0.016607426,0.0004092704424510632,1257.0,-2.4441935
1,2012,6,3072,0.004968799985363148,80,1.002558946609497,0.2,0.2220458984375,-0.023766669968608767,-0.00799548625946045,-44.03558087348938,-0.02345716767013073,0.014621969,0.0004092704424510632,1257.0,-2.4441935
1,1981,7,3584,0.006727467261953279,96,1.0026391744613647,0.2,0.2689208984375,-0.026085334655363113,0.0065239667892456055,-44.070305585861206,-0.02812008187174797,0.016853912,0.0004092704424510632,1257.0,-2.4441935
2,1963,8,4096,0.004622198575816583,112,1.0025471448898315,0.2,0.1806640625,-0.018861838791053742,-0.0005769729614257812,-44.062130093574524,-0.02566213719546795,0.011539234,0.0004092704424510632,1257.0,-2.490107333333333
2,1949,9,4608,0.008459124801447615,128,1.002514123916626,0.2,0.2452392578125,-0.022229218913707882,0.004328250885009766,-44.06130409240723,-0.030545949935913086,0.017460447,0.0004092704424510632,1257.0,-2.490107333333333
2,1940,10,5120,0.0024592035879322793,144,1.003743052482605,0.2,0.230224609375,-0.025453121488681063,0.012988388538360596,-44.075536608695984,-0.05350252613425255,0.016103018,0.0004092704424510632,1257.0,-2.52889125
2,1931,11,5632,0.010379342769738287,160,1.0031282901763916,0.2,0.285888671875,-0.02850935500464402,-0.000937342643737793,-44.096439361572266,-0.0301828533411026,0.023235463,0.0004092704424510632,1257.0,-2.52889125
3,1922,12,6144,0.006233331201656256,176,1.0025551319122314,0.2,0.29736328125,-0.03053666854975745,0.013744354248046875,-44.06828308105469,-0.031731341034173965,0.024492389,0.0004092704424510632,1257.0,-2.52889125
3,1912,13,6656,0.00446811955771409,192,1.003151774406433,0.2,0.2481689453125,-0.023877209925558418,0.0011938214302062988,-44.06659281253815,-0.026178987696766853,0.016565695,0.0004092704424510632,1257.0,-2.5425440000000004
3,1906,14,7168,0.02817444154061377,208,1.003981351852417,0.2,0.27734375,-0.021948191453702748,0.0008497834205627441,-44.09016704559326,-0.007904525846242905,0.017976651,0.0004092704424510632,1257.0,-2.5425440000000004
4,1901,15,7680,0.002981636283948319,224,1.002265214920044,0.2,0.2733154296875,-0.02759736690495629,9.66787338256836e-05,-44.084033489227295,-0.04719805717468262,0.018346526,0.0004092704424510632,1257.0,-2.534517
4,1898,16,8192,0.03058188100112602,240,1.0006096363067627,0.2,0.3192138671875,-0.028099430084694177,0.001465439796447754,-44.023459672927856,-0.02958269789814949,0.020072695,0.0004092704424510632,1257.0,-2.534517
4,1891,17,8704,0.004652015973988455,256,0.9999175667762756,0.2,0.2791748046875,-0.021757137612439692,0.011176586151123047,-43.985782742500305,-0.031837888062000275,0.02774521,0.0004092704424510632,1257.0,-2.534517
4,1886,18,9216,0.005540960635698866,272,0.9996771812438965,0.2,0.27783203125,-0.029350841694395058,0.00024324655532836914,-43.9735803604126,-0.0464460626244545,0.017970687,0.0004092704424510632,1257.0,-2.5511695714285714
5,1882,19,9728,0.05594814696814865,288,1.0016335248947144,0.2,0.3485107421875,-0.03310033160960302,0.0018524527549743652,-43.99367618560791,-0.018975786864757538,0.022630291,0.0004092704424510632,1257.0,-2.5511695714285714
5,1878,20,10240,0.0029128636269888375,304,1.000130534172058,0.2,0.2337646484375,-0.023056570164044388,-0.19256198406219482,-44.013408184051514,-0.030361682176589966,0.014465211,0.0004092704424510632,1257.0,-2.5448806250000002
5,1878,21,10752,0.05286675493698567,320,0.9987700581550598,0.2,0.3135986328125,-0.028964688804990146,0.001818835735321045,-43.953455209732056,-0.011393243446946144,0.01965901,0.0004092704424510632,1257.0,-2.5448806250000002
6,1876,22,11264,0.00589322937594261,336,1.0012762546539307,0.2,0.3204345703125,-0.025369211740326136,0.011800229549407959,-43.962204456329346,-0.034950241446495056,0.03584822,0.0004092704424510632,1257.0,-2.5448806250000002
6,1874,23,11776,0.004054483157233335,352,1.0020232200622559,0.2,0.312255859375,-0.031545794117846526,0.0019666552543640137,-44.03071451187134,-0.04370469972491264,0.025113296,0.0004092704424510632,1257.0,-2.553146888888889
6,1872,24,12288,0.06934539449866861,368,1.0004388093948364,0.2,0.2994384765625,-0.02893707895418629,0.002704918384552002,-44.015164375305176,-0.007678627967834473,0.02238356,0.0004092704424510632,1257.0,-2.553146888888889
6,1870,25,12800,0.003633110420196317,384,1.0004734992980957,0.2,0.2664794921875,-0.02343235931766685,-0.5744848251342773,-43.979185700416565,-0.039644092321395874,0.021208936,0.0004092704424510632,1257.0,-2.5527544000000004
7,1869,26,13312,0.06446476734708995,400,1.0010257959365845,0.2,0.214111328125,-0.022655303997453302,0.007386147975921631,-43.99516439437866,-0.0002504289150238037,0.015594277,0.0004092704424510632,1257.0,-2.5527544000000004
7,1866,27,13824,0.00897573032125365,416,1.001218318939209,0.2,0.240966796875,-0.024769808660494164,0.07002991437911987,-44.005123019218445,-0.026174720376729965,0.017429534,0.0004092704424510632,1257.0,-2.5527544000000004
7,1865,28,14336,0.009890161236398853,432,0.9995688796043396,0.2,0.213623046875,-0.022647781981504522,0.23379766941070557,-43.98968982696533,-0.025025425478816032,0.012824967,0.0004092704424510632,1257.0,-2.553660090909091
7,1864,29,14848,0.013817014565574937,448,0.9986052513122559,0.2,0.25,-0.022396648448193446,0.13702112436294556,-43.937949419021606,-0.032449763268232346,0.020106185,0.0004092704424510632,1257.0,-2.553660090909091
8,1863,30,15360,0.005591796863882337,464,0.9985316395759583,0.2,0.2906494140625,-0.033578419126570225,-0.05632984638214111,-43.92356479167938,-0.0378342941403389,0.021902101,0.0004092704424510632,1257.0,-2.5469333333333335
8,1862,31,15872,0.07188495702575892,480,1.0000965595245361,0.2,0.2940673828125,-0.02825489420501981,0.020046591758728027,-43.94029176235199,-0.014047753065824509,0.020451197,0.0004092704424510632,1257.0,-2.5469333333333335
8,1861,32,16384,0.003560257129720412,496,1.0020294189453125,0.2,0.239990234375,-0.024478685707435943,-0.3043743371963501,-43.99627351760864,-0.032242849469184875,0.020013874,0.0004092704424510632,1257.0,-2.542488846153846
9,1859,33,16896,0.0793172107078135,512,1.0029217004776,0.2,0.3331298828125,-0.03479217652056832,0.16692936420440674,-44.04512643814087,-0.013487095013260841,0.028120538,0.0004092704424510632,1257.0,-2.542488846153846
9,1858,34,17408,0.007470861892215908,528,1.0053820610046387,0.2,0.2628173828125,-0.026230884835968027,-0.37138521671295166,-44.08573770523071,-0.030775073915719986,0.016219797,0.0004092704424510632,1257.0,-2.542488846153846
9,1858,35,17920,0.003917825684766285,544,1.0051227807998657,0.2,0.227783203125,-0.025074125616811216,-0.04928433895111084,-44.13213610649109,-0.023071281611919403,0.019328516,0.0004092704424510632,1257.0,-2.5405003571428573
9,1857,36,18432,0.08345546817872673,560,1.0062799453735352,0.2,0.190673828125,-0.020303210796555504,0.041152119636535645,-44.12994146347046,-0.005865616723895073,0.0146510415,0.0004092704424510632,1257.0,-2.5405003571428573
10,1856,37,18944,0.01026506585185416,576,1.007128119468689,0.2,0.199462890625,-0.02359888143837452,-0.3405197858810425,-44.1684535741806,-0.041306279599666595,0.015399218,0.0004092704424510632,1257.0,-2.552009866666667
10,1855,38,19456,0.08521241438575089,592,1.007258415222168,0.2,0.2056884765625,-0.024440106702968478,0.4217621088027954,-44.17797088623047,0.017012761905789375,0.022598784,0.0004092704424510632,1257.0,-2.552009866666667
10,1854,39,19968,0.010523328994167969,608,1.008327841758728,0.2,0.2218017578125,-0.025360112282214686,-0.280226469039917,-44.187745094299316,-0.032138124108314514,0.01649417,0.0004092704424510632,1257.0,-2.552009866666667
11,1854,40,20480,0.004830490703170653,624,1.0087671279907227,0.2,0.2518310546875,-0.0251489071524702,-0.10854840278625488,-44.21858072280884,-0.0245925672352314,0.022111787,0.0004092704424510632,1257.0,-2.5444104999999997
11,1853,41,20992,0.09969506680499762,640,1.0092967748641968,0.2,0.2371826171875,-0.02759027518914081,0.08089578151702881,-44.228983640670776,-0.015379648655653,0.021218965,0.0004092704424510632,1257.0,-2.5444104999999997
11,1853,42,21504,0.010692498806747608,656,1.0103758573532104,0.2,0.2734375,-0.030205705523258075,-1.9862010478973389,-44.25035274028778,-0.04349149391055107,0.024310568,0.0004092704424510632,1257.0,-2.545710352941176
11,1853,43,22016,0.09653396171052009,672,1.0092206001281738,0.2,0.2147216796875,-0.019467007237835787,0.16529858112335205,-44.259891748428345,0.0031367316842079163,0.016509835,0.0004092704424510632,1257.0,-2.545710352941176
12,1852,44,22528,0.00869206091738306,688,1.0088846683502197,0.2,0.254638671875,-0.02445485320640728,0.00847405195236206,-44.219929695129395,-0.031199263408780098,0.016174683,0.0004092704424510632,1257.0,-2.545710352941176
12,1851,45,23040,0.006162641540868208,704,1.0089718103408813,0.2,0.2293701171875,-0.02767453683190979,-0.08077168464660645,-44.2248477935791,-0.031258076429367065,0.014379843,0.0004092704424510632,1257.0,-2.5510128888888888
12,1850,46,23552,0.10272694111336023,720,1.0092711448669434,0.2,0.2047119140625,-0.026277711891452782,0.186936616897583,-44.22604703903198,-0.01617724448442459,0.01949304,0.0004092704424510632,1257.0,-2.5510128888888888
13,1849,47,24064,0.007808387919794768,736,1.0087066888809204,0.2,0.2403564453125,-0.02904627428506501,-2.7568557262420654,-44.22755455970764,-0.034176040440797806,0.024199191,0.0004092704424510632,1257.0,-2.543098684210526
13,1849,48,24576,0.13216245314106345,752,1.008887767791748,0.2,0.19091796875,-0.02501766553905327,0.14862847328186035,-44.21599733829498,0.00467497855424881,0.021009572,0.0004092704424510632,1257.0,-2.543098684210526
13,1849,49,25088,0.017813292506616563,768,1.0082449913024902,0.2,0.2298583984375,-0.026589260072796606,0.32483065128326416,-44.21135067939758,-0.03313533589243889,0.019072274,0.0004092704424510632,1257.0,-2.543098684210526
13,1849,50,25600,0.026202887413091958,784,1.0088697671890259,0.2,0.23779296875,-0.02705001347931102,-0.34483468532562256,-44.20542776584625,-0.02044755220413208,0.016559511,0.0004092704424510632,1257.0,-2.54094455
14,1849,51,26112,0.057074132142588496,800,1.0083638429641724,0.2,0.2279052734375,-0.02509654383175075,0.6432974934577942,-44.22304439544678,-0.019524622708559036,0.025351876,0.0004092704424510632,1257.0,-2.54094455
14,1849,52,26624,0.019727288570720702,816,1.0064115524291992,0.2,0.18310546875,-0.024154370781616308,-2.217428684234619,-44.17783343791962,-0.027026481926441193,0.0138594555,0.0004092704424510632,1257.0,-2.5407538095238094
14,1849,53,27136,0.08846219268161803,832,1.0053186416625977,0.2,0.16845703125,-0.02149612696666736,0.13198226690292358,-44.127275466918945,-0.010456304997205734,0.018330181,0.0004092704424510632,1257.0,-2.5407538095238094
14,1849,54,27648,0.010574199273833074,848,1.0029317140579224,0.2,0.2298583984375,-0.027787616170826368,0.3646889925003052,-44.07985842227936,-0.03656325116753578,0.018175114,0.0004092704424510632,1257.0,-2.5407538095238094
15,1848,55,28160,0.0565049882279709,864,1.0018799304962158,0.2,0.2564697265625,-0.0273166376282461,0.5430473685264587,-44.02081561088562,-0.019494226202368736,0.020695765,0.0004092704424510632,1257.0,-2.5413948636363632
15,1848,56,28672,0.018575900932773948,880,1.002042293548584,0.2,0.2080078125,-0.019144180274452083,0.7332887649536133,-44.00627374649048,-0.016807157546281815,0.022198353,0.0004092704424510632,1257.0,-2.5413948636363632
15,1848,57,29184,0.013956709881313145,896,1.0013595819473267,0.2,0.1832275390625,-0.019569434560253285,-0.9565428495407104,-44.00311481952667,-0.022596480324864388,0.014143525,0.0004092704424510632,1257.0,-2.5382470434782607
16,1847,58,29696,0.07589827117044479,912,1.0018244981765747,0.2,0.1151123046875,-0.018537400566856377,0.3255159258842468,-43.98846101760864,-0.010157855227589607,0.013669163,0.0004092704424510632,1257.0,-2.5382470434782607
16,1848,59,30208,0.009903227575705387,928,1.0016919374465942,0.2,0.251708984375,-0.024940035640611313,0.13140875101089478,-44.00377976894379,-0.026909269392490387,0.024217028,0.0004092704424510632,1257.0,-2.5365134583333333
16,1848,60,30720,0.10260656732134521,944,1.0019149780273438,0.2,0.13818359375,-0.017793943217839114,0.6209169626235962,-43.99515950679779,0.011249478906393051,0.017284513,0.0004092704424510632,1257.0,-2.5365134583333333
16,1848,61,31232,0.006443314072384965,960,1.001814842224121,0.2,0.23974609375,-0.02917349844938144,-1.0909345149993896,-43.99996256828308,-0.05078522861003876,0.022189852,0.0004092704424510632,1257.0,-2.5365134583333333
17,1847,62,31744,0.005512972922588233,976,1.0007202625274658,0.2,0.18798828125,-0.02350779777043499,-0.17424583435058594,-43.97332751750946,-0.02594502829015255,0.013953501,0.0004092704424510632,1257.0,-2.5417300800000002
17,1848,63,32256,0.1416486477246508,992,0.9995140433311462,0.2,0.1129150390625,-0.017705751684843563,0.11654764413833618,-43.93423247337341,-0.00043465755879879,0.011806134,0.0004092704424510632,1257.0,-2.5417300800000002
17,1848,64,32768,0.00968266486597713,1008,0.998207151889801,0.2,0.2340087890625,-0.02497517244773917,0.06687986850738525,-43.892605781555176,-0.03913524001836777,0.019752733,0.0004092704424510632,1257.0,-2.538953653846154
18,1848,65,33280,0.14227871224284172,1024,0.9985566139221191,0.2,0.126708984375,-0.015446900237293448,0.6491731405258179,-43.873876094818115,0.020457807928323746,0.013816141,0.0004092704424510632,1257.0,-2.538953653846154
18,1848,66,33792,0.010344934038585052,1040,0.9995697140693665,0.2,0.2159423828125,-0.027122081439301837,-0.47158384323120117,-43.89918124675751,-0.03052418678998947,0.016555037,0.0004092704424510632,1257.0,-2.538953653846154
