train/learning_rate,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,train/n_updates,time/fps,rollout/ep_len_mean,time/episodes,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/time_elapsed
0.0008459126528049375,-4.3417595,0.017481964081525803,-123.95619201660156,4931,11,1258.0,4,2.327637195587158,-165.84640502929688,5032,448
0.0008459126528049375,-3.442192625,0.0013431282714009285,-130.0075225830078,9963,11,1258.0,8,4.8836236000061035,42.63978576660156,10064,903
0.0008459126528049375,-2.8498583333333336,0.0012679856736212969,-135.35655212402344,14995,11,1258.0,12,5.190330505371094,25.782800674438477,15096,1356
0.0008459126528049375,-2.4831091875,0.0010239602997899055,-138.7869415283203,20027,11,1258.0,16,6.234455585479736,2.7518224716186523,20128,1818
0.0008459126528049375,-2.2813217,0.0009226846159435809,-142.11029052734375,25059,11,1258.0,20,7.947020530700684,0.9271948933601379,25160,14
0.0008459126528049375,-2.1509505416666665,0.0010165558196604252,-136.95655822753906,30091,10,1258.0,24,12.43820858001709,27.959962844848633,30192,479
0.0008459126528049375,-2.0635806428571426,0.0006172435823827982,-134.28900146484375,35123,10,1258.0,28,8.102209091186523,-37.586429595947266,35224,947
0.0008459126528049375,-2.00306540625,0.001193646457977593,-129.15061950683594,40155,10,1258.0,32,8.071439743041992,-49.61777114868164,40256,1418
0.0008459126528049375,-1.945940916666667,0.0004172995104454458,-130.54833984375,45187,10,1258.0,36,1.6485941410064697,-20.632293701171875,45288,1879
0.0008459126528049375,-1.8886591750000001,0.000892923679202795,-129.36422729492188,50219,11,1258.0,40,3.4611878395080566,97.89801025390625,50320,28
0.0008459126528049375,-1.8607321136363633,0.001078818109817803,-121.01760864257812,55251,10,1258.0,44,24.88685417175293,-6.139628887176514,55352,499
0.0008459126528049375,-1.8313941875,0.001096062595024705,-115.11190795898438,60283,10,1258.0,48,4.55653190612793,58.690574645996094,60384,966
0.0008459126528049375,-1.8007815384615387,0.0012374150101095438,-115.48388671875,65315,10,1258.0,52,8.770976066589355,3.1161727905273438,65416,1436
0.0008459126528049375,-1.7729373035714286,0.0009318393422290683,-112.09078979492188,70347,10,1258.0,56,41.51564025878906,-15.75770378112793,70448,1891
0.0008459126528049375,-1.7334842833333333,0.001483552623540163,-106.94356536865234,75379,10,1258.0,60,12.338409423828125,-2.0685834884643555,75480,46
0.0008459126528049375,-1.7132559843750002,0.0011377379996702075,-101.83889770507812,80411,10,1258.0,64,3.9444713592529297,36.932716369628906,80512,543
0.0008459126528049375,-1.6815651176470592,0.0022441879846155643,-76.44800567626953,85443,10,1258.0,68,9.094964981079102,-45.908287048339844,85544,1044
0.0008459126528049375,-1.670601722222222,0.002215770771726966,-58.848915100097656,90475,10,1258.0,72,18.40069580078125,-38.7579231262207,90576,1542
