time/episodes,train/ent_coef,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates
4,0.017704878002405167,2.177783966064453,0.0008459126528049375,-5.309207,1257.0,-170.82313537597656,-122.34033203125,5028,70,71,4927
8,0.0012691724114120007,4.456698417663574,0.0008459126528049375,-4.02546825,1257.0,-112.20530700683594,-120.92951965332031,10056,69,145,9955
12,0.0008359061903320253,1.9655625820159912,0.0008459126528049375,-3.2746034166666664,1257.0,30.69070816040039,-115.32957458496094,15084,69,218,14983
16,0.0019488938851282,3.781662702560425,0.0008459126528049375,-2.90438125,1257.0,-52.30096435546875,-91.13141632080078,20112,69,291,20011
20,0.001301483018323779,7.824542045593262,0.0008459126528049375,-2.74225755,1257.0,-79.77113342285156,-77.24478912353516,25140,69,2,25039
24,0.0008988993940874934,4.157742500305176,0.0008459126528049375,-2.6380873333333335,1257.0,-30.077415466308594,-63.7442512512207,30168,68,75,30067
28,0.0003519867022987455,1.5599377155303955,0.0008459126528049375,-2.5445700714285713,1257.0,43.46644592285156,-60.89112854003906,35196,68,148,35095
32,0.0002978114353027195,0.9182803630828857,0.0008459126528049375,-2.4518823125,1257.0,-43.691287994384766,-57.346710205078125,40224,68,222,40123
36,0.0003664055257104337,4.313664436340332,0.0008459126528049375,-2.411905972222222,1257.0,-48.63084411621094,-48.12655258178711,45252,68,295,45151
40,0.00031786112231202424,4.876448631286621,0.0008459126528049375,-2.358986925,1257.0,2.3554141521453857,-46.42436599731445,50280,68,4,50179
44,0.00023510836763307452,0.6111093759536743,0.0008459126528049375,-2.3038546818181818,1257.0,47.281005859375,-42.727516174316406,55308,68,77,55207
48,0.0004087905690539628,1.0755804777145386,0.0008459126528049375,-2.2667865416666664,1257.0,11.019824981689453,-38.145084381103516,60336,68,150,60235
52,0.0003551296831574291,1.5838501453399658,0.0008459126528049375,-2.2419469423076923,1257.0,99.33946990966797,-36.433074951171875,65364,68,224,65263
56,0.0008900933316908777,1.648923635482788,0.0008459126528049375,-2.2105458571428573,1257.0,-61.786373138427734,-18.293136596679688,70392,68,297,70291
60,0.0005807631532661617,13.587082862854004,0.0008459126528049375,-2.1793195,1257.0,197.35691833496094,-10.507006645202637,75420,67,6,75319
64,0.0004828163073398173,1.8995777368545532,0.0008459126528049375,-2.146203828125,1257.0,-5.807074546813965,-7.8035888671875,80448,65,82,80347
68,0.00018194815493188798,0.546172559261322,0.0008459126528049375,-2.1414806470588235,1257.0,20.562368392944336,0.035788536071777344,85476,65,160,85375
72,0.00029962469125166535,7.017165660858154,0.0008459126528049375,-2.1331581388888887,1257.0,-2.7571704387664795,4.004034519195557,90504,65,238,90403
76,0.00027171126566827297,0.35089820623397827,0.0008459126528049375,-2.1079600657894737,1257.0,-0.5452067852020264,6.002089500427246,95532,64,317,95431
