time/episodes,train/ent_coef,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates
4,0.016945280134677887,41.834468841552734,0.0008459126528049375,-5.54935975,1257.0,-185.76153564453125,-118.21074676513672,5028,69,72,4927
8,0.0014542012941092253,4.486858367919922,0.0008459126528049375,-4.2644215,1257.0,-22.979366302490234,-121.08668518066406,10056,68,147,9955
12,0.0008737606112845242,0.9673052430152893,0.0008459126528049375,-3.6264634166666667,1257.0,9.767934799194336,-121.48222351074219,15084,67,223,14983
16,0.0007440303452312946,10.843767166137695,0.0008459126528049375,-3.2312548749999994,1257.0,35.54450607299805,-117.83221435546875,20112,67,299,20011
20,0.0010394532000645995,2.674544334411621,0.0008459126528049375,-2.9801965499999996,1257.0,16.65252685546875,-87.93086242675781,25140,66,2,25039
24,0.0007633768836967647,4.687175750732422,0.0008459126528049375,-2.839789708333333,1257.0,111.36730194091797,-79.66314697265625,30168,65,78,30067
28,0.0006450508371926844,4.074763298034668,0.0008459126528049375,-2.707425642857142,1257.0,12.858430862426758,-74.26426696777344,35196,65,155,35095
32,0.0010357537539675832,12.387578010559082,0.0008459126528049375,-2.5946916250000003,1257.0,207.12841796875,-59.293800354003906,40224,65,232,40123
36,0.0008426663698628545,6.688425540924072,0.0008459126528049375,-2.5353996388888884,1257.0,32.50193786621094,-52.99567413330078,45252,65,309,45151
40,0.00041857935138978064,5.877885818481445,0.0008459126528049375,-2.485557675,1257.0,8.458868026733398,-39.43492126464844,50280,66,4,50179
44,0.00038340347236953676,2.7698330879211426,0.0008459126528049375,-2.4492949772727273,1257.0,-2.7589359283447266,-31.304786682128906,55308,65,80,55207
48,0.0005284182843752205,4.087534427642822,0.0008459126528049375,-2.4061485625,1257.0,-11.916441917419434,-29.611473083496094,60336,65,156,60235
52,0.0006065809284336865,3.8297009468078613,0.0008459126528049375,-2.3670925384615384,1257.0,5.9227800369262695,-26.628389358520508,65364,65,233,65263
56,0.0011233221739530563,14.42911148071289,0.0008459126528049375,-2.3358761607142857,1257.0,-18.680404663085938,-15.873887062072754,70392,66,308,70291
60,0.0006193947046995163,1.4980461597442627,0.0008459126528049375,-2.3238509999999994,1257.0,-100.63871765136719,-9.616240501403809,75420,64,6,75319
64,0.0008798031485639513,10.252718925476074,0.0008459126528049375,-2.3141596562499998,1257.0,33.34426498413086,-3.6789116859436035,80448,64,84,80347
68,0.0014820083742961287,9.034297943115234,0.0008459126528049375,-2.2821542352941178,1257.0,4.262519359588623,2.60921049118042,85476,64,162,85375
72,0.001848092069849372,6.975875377655029,0.0008459126528049375,-2.267592138888889,1257.0,4.879794120788574,11.404953956604004,90504,63,242,90403
76,0.0009129527024924755,8.178329467773438,0.0008459126528049375,-2.258309328947368,1257.0,-25.83200454711914,32.43257522583008,95532,63,323,95431
