train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,time/episodes,train/ent_coef,time/total_timesteps,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,rollout/ep_len_mean
3.252650260925293,64,77,0.0008459126528049375,-121.33690643310547,4,0.016971439123153687,5032,4931,-4.757058,-181.41268920898438,1258.0
5.923114776611328,63,158,0.0008459126528049375,-130.27685546875,8,0.000924273394048214,10064,9963,-3.6249362499999997,40.41262435913086,1258.0
4.170331954956055,63,238,0.0008459126528049375,-129.25466918945312,12,0.0010033835424110293,15096,14995,-2.9451585833333334,-31.326480865478516,1258.0
4.736966609954834,63,318,0.0008459126528049375,-124.8897476196289,16,0.0005150829092599452,20128,20027,-2.59334625,-52.552886962890625,1258.0
3.5310850143432617,62,2,0.0008459126528049375,-112.75943756103516,20,0.0007251149509102106,25160,25059,-2.3894323500000003,21.14090919494629,1258.0
1.9188944101333618,62,82,0.0008459126528049375,-108.35773468017578,24,0.00040675184573046863,30192,30091,-2.2877813333333332,-7.262901306152344,1258.0
2.739147663116455,63,161,0.0008459126528049375,-75.0033950805664,28,0.0007556674536317587,35224,35123,-2.215731892857143,-16.301435470581055,1258.0
2.3584744930267334,64,238,0.0008459126528049375,-71.72342681884766,32,0.00047701637959107757,40256,40155,-2.15526459375,-10.639971733093262,1258.0
6.0945892333984375,64,315,0.0008459126528049375,-47.527061462402344,36,0.0007108421414159238,45288,45187,-2.1050816111111113,59.09406280517578,1258.0
2.086646795272827,63,5,0.0008459126528049375,-43.84980010986328,40,0.0002489803300704807,50320,50219,-2.069427675,9.164523124694824,1258.0
0.7094734907150269,63,84,0.0008459126528049375,-38.86894989013672,44,0.00012269127182662487,55352,55251,-2.0386395454545454,-57.23636245727539,1258.0
0.63422691822052,63,163,0.0008459126528049375,-34.31808853149414,48,0.00029084522975608706,60384,60283,-1.9975060208333335,-40.06473159790039,1258.0
1.4792916774749756,63,243,0.0008459126528049375,-16.547325134277344,52,0.0004542730166576803,65416,65315,-1.9663861730769232,-53.65428924560547,1258.0
1.0862308740615845,63,323,0.0008459126528049375,-13.398283004760742,56,0.00036651629488915205,70448,70347,-1.951735375,-7.284389019012451,1258.0
1.5350737571716309,63,7,0.0008459126528049375,-10.566956520080566,60,0.00026164253358729184,75480,75379,-1.9527816166666667,-57.36684036254883,1258.0
2.84330677986145,62,88,0.0008459126528049375,-7.97732400894165,64,0.00023425275867339224,80512,80411,-1.93708246875,-43.80067825317383,1258.0
0.2762567102909088,62,169,0.0008459126528049375,-7.715505123138428,68,0.00015826891467440873,85544,85443,-1.9219543529411762,1.2970515489578247,1258.0
0.20905867218971252,62,250,0.0008459126528049375,-5.9861226081848145,72,0.00022807966161053628,90576,90475,-1.9138556944444443,35.53291320800781,1258.0
0.7788227796554565,62,332,0.0008459126528049375,-1.9798134565353394,76,0.00040559115586802363,95608,95507,-1.8922003026315786,-2.0604028701782227,1258.0
